r,elect_mean,elect_var,elect_seom,vdw_mean,vdw_var,vdw_seom
11.54589,-28.760464070482318,1.3849051869175504,0.0026692534808281966,-0.008624932218649517,1.4176338365637153e-05,8.540077897680723e-06
11.61694,-28.589187417557106,1.3476610380654883,0.002611798863070198,-0.00829460622288812,1.288074059724351e-05,8.074577535775911e-06
11.68799,-28.41372049508134,1.3198788367229701,0.0025751292573077986,-0.007986406113405483,1.1629396187748749e-05,7.643822323521525e-06
11.75904,-28.244106882375032,1.2869370650009335,0.0025217582058246093,-0.007665753661573735,1.0468628142131619e-05,7.192331147167666e-06
11.83009,-28.073654085261012,1.2583160792889774,0.00247912123928327,-0.00738362085808065,9.584278673338872e-06,6.841992745530395e-06
11.90115,-27.90415131115119,1.223413557160597,0.002432250084210717,-0.0071037494620484224,8.71245419612643e-06,6.490704485757506e-06
11.9722,-27.740010601860494,1.2005261575096793,0.0023974459220368156,-0.006841528422121042,7.883476848860324e-06,6.1435854695069006e-06
12.04325,-27.580206248662023,1.1691343337660736,0.0023583631823804164,-0.006595716562403368,7.236964678091602e-06,5.867548734482431e-06
12.1143,-27.41227955084522,1.1468185118844336,0.0023231654642726805,-0.006353959753021349,6.625946285014752e-06,5.584145825345996e-06
12.18535,-27.25922718387834,1.1181519087683032,0.0022817424880023983,-0.006126333188990861,6.049661783753044e-06,5.307399416430741e-06
12.2564,-27.102122265038027,1.0942694388583571,0.002245858074787314,-0.005901182761004839,5.582687527959912e-06,5.072731000774852e-06
12.32746,-26.941342356320792,1.0675419030914497,0.002209812707932503,-0.0056943676467897456,5.09388473079415e-06,4.827114025897189e-06
12.39851,-26.788859045335766,1.0410447981632893,0.0021639460003212885,-0.005484439926412048,4.670384687866646e-06,4.583402916317872e-06
12.46956,-26.639095836899163,1.023206553333009,0.002135584124729103,-0.005292591106832121,4.296321054674112e-06,4.376061241519123e-06
12.54061,-26.48501291075573,0.9971182747720779,0.0020956156276133483,-0.005115390374849703,3.977492446043835e-06,4.185457845848193e-06
12.61166,-26.33204830842682,0.9743779097236832,0.0020640002461559297,-0.004932003917419399,3.660507130191086e-06,4.000521958905251e-06
12.68271,-26.18248751556784,0.951990719210795,0.002025473225530628,-0.004767512895983176,3.3800408222336264e-06,3.816551456715437e-06
12.75377,-26.038677803934974,0.927413193104662,0.001990571002770142,-0.004597946209224328,3.0915044508652173e-06,3.634343535141842e-06
12.82482,-25.89232749327286,0.9045474445640181,0.0019562860577002224,-0.004438191541572881,2.850313437804797e-06,3.472665835112235e-06
12.89587,-25.750135098449938,0.8866461937913814,0.001927298429580297,-0.004289935064935065,2.6427012639094997e-06,3.327344947318784e-06
12.96692,-25.60868806325617,0.8697817429837567,0.001898054275683722,-0.004139631198976105,2.4106005084777355e-06,3.1598473692206483e-06
13.03797,-25.468256063073518,0.8505915153271029,0.0018679376575391942,-0.004004707542487253,2.2306510744373314e-06,3.02494634203839e-06
13.10902,-25.328297356636654,0.8327573572534628,0.001839560267841633,-0.0038691577809564053,2.0556000139844676e-06,2.89017465105602e-06
13.18007,-25.189098549526257,0.813814716527792,0.0018117900230803406,-0.003739717004344161,1.8886665855055455e-06,2.7600868163089282e-06
13.25113,-25.055092539345704,0.796984629561687,0.0017813129514641975,-0.003616179017482113,1.7532689545991609e-06,2.6420408247771554e-06
13.32218,-24.920161909676498,0.7812117599069672,0.0017575905111852283,-0.003493785860311359,1.611191523902376e-06,2.5241019792353936e-06
13.39323,-24.788960760946186,0.7648491381414498,0.001730726581199335,-0.003381052714028353,1.4944816617538772e-06,2.4192785124922683e-06
13.46428,-24.649077856648272,0.7489386528039542,0.001702094266312112,-0.0032731226137379076,1.3855641299462022e-06,2.3151215735896424e-06
13.53533,-24.52556471849928,0.732341971136234,0.0016763019835077777,-0.003159237359997852,1.2652239813428694e-06,2.2033272419336494e-06
13.60638,-24.39745405142602,0.7207047060477112,0.0016513094042003022,-0.0030586495751072636,1.1712800980944886e-06,2.105135995419449e-06
13.67744,-24.270967456070757,0.7044124007128582,0.0016275055593358084,-0.0029604601055129185,1.0818957429984595e-06,2.0169804572011187e-06
13.74849,-24.145958416025774,0.6924835441119765,0.001605154190402616,-0.0028644204831694362,1.0009758946906855e-06,1.929851259385377e-06
13.81954,-24.0234774796553,0.6767405152319022,0.0015803835628841994,-0.0027714137033824806,9.255541604143765e-07,1.8482143329329154e-06
13.89059,-23.90003434228227,0.6652186180836949,0.001559416950832739,-0.0026834638386851496,8.484342907682368e-07,1.7611208521080945e-06
13.96164,-23.776981777877342,0.6523556442288327,0.0015352987806666728,-0.0026007555364453293,7.926342049229923e-07,1.6923379667083512e-06
14.03269,-23.657492075037876,0.6400923302793483,0.0015140800184002628,-0.002514893327459808,7.26259539491813e-07,1.6127737320677703e-06
14.10375,-23.537609998402186,0.6261294480610138,0.0014910381386755971,-0.0024355538196601982,6.703331717517452e-07,1.542773046764039e-06
14.1748,-23.415948318932205,0.6156458858959092,0.0014705227821708233,-0.002361569020021075,6.234012944144445e-07,1.4797560227784935e-06
14.24585,-23.30086464751813,0.6008997828516847,0.0014453460968430567,-0.0022883586074549963,5.738240457257351e-07,1.4124081080540492e-06
14.3169,-23.184181017083016,0.5910919447053455,0.0014246664382638401,-0.0022155271697141396,5.314664234104295e-07,1.3509012051722758e-06
14.38795,-23.070958008145034,0.578049388909303,0.0014029695495429465,-0.0021495913864258563,4.920817262839692e-07,1.2944473497317852e-06
14.459,-22.957531538453782,0.5690503869785855,0.0013833029157592283,-0.0020835054458392035,4.551478264076049e-07,1.237138058293017e-06
14.53006,-22.844399903788016,0.5562190807668966,0.0013631425983553808,-0.0020177464346443326,4.19371638047462e-07,1.1836352112123363e-06
14.60111,-22.735452689893307,0.5442672241047948,0.0013416777933491207,-0.001957783922157471,3.9038007077518165e-07,1.136281563000627e-06
14.67216,-22.62340932078453,0.5346179782835675,0.0013263884173410894,-0.0018992460839805183,3.6263248621303273e-07,1.0924015178154742e-06
14.74321,-22.51518406350528,0.5251716602975296,0.0013069866806105436,-0.0018445379408598124,3.397321259476793e-07,1.0512084154895413e-06
